Alpha,php_mysql,py_mysql,php_psql,py_psql
0,0,0,0.5,0.5
0.1,0,0,0.5,0.5
0.2,0,0,0.5,0.5
0.3,0.25,0.25,0.25,0.25
0.4,0.25,0.25,0.25,0.25
0.5,0.25,0.25,0.25,0.25
0.6,0.25,0.25,0.25,0.25
0.7,0.25,0.25,0.25,0.25
0.8,0.25,0.25,0.25,0.25
0.9,0.25,0.25,0.25,0.25
1.0,0.25,0.25,0.25,0.25
1.1,0.25,0.25,0.25,0.25
1.2,0.25,0.25,0.25,0.25
1.3,0.25,0.5,0,0.25
1.4,0.25,0.5,0,0.25
1.5,0.25,0.5,0,0.25
1.6,0.25,0.5,0,0.25
1.7,0.25,0.5,0,0.25
1.8,0.5,0.5,0,0
1.9,0.5,0.5,0,0
2.0,0.5,0.5,0,0
2.1,0.5,0.5,0,0
2.2,0.5,0.5,0,0
2.3,0.5,0.5,0,0
2.4,0.5,0.5,0,0
2.5,0.5,0.5,0,0
