# IDS Placed ->,alpha = 0.1,alpha = 0.2
3,-2.299854,-2.091547841
4,-2.275559275,-2.083001394
5,-2.251264551,-2.074454947
6,-2.226969826,-2.0659085
7,-2.202675102,-2.057362052
8,-2.178380377,-2.048815605
9,-2.154085653,-2.040269158
10,-2.129790928,-2.031722711
11,-2.105496204,-2.023176264
12,-2.081201479,-2.014629817
13,-2.056906755,-2.006083369
14,-2.03261203,-1.997536922
15,-2.008317306,-1.988990475
16,-1.984022581,-1.980444028
17,-1.934145527,-1.949157732
18,-1.883902937,-1.917546516
19,-1.805304064,-1.860729714
20,-1.642488169,-1.729053337
21,-1.479672274,-1.597376961
22,-1.316856378,-1.465700584
23,-1.154040483,-1.334024208
24,-0.991224588,-1.202347831
25,-0.828408693,-1.070671455
26,-0.665592798,-0.938995078
27,-0.502776903,-0.807318701
28,-0.339961008,-0.675642325
29,-0.336948598,-0.673897196
30,-0.347781931,-0.695563862
31,-0.359090882,-0.718181764
32,-0.372138501,-0.744277003
33,-0.386090513,-0.772181026
34,-0.403804799,-0.807609598
35,-0.422212255,-0.844424511
36,-0.441878922,-0.883757844
37,-0.462774825,-0.925549649
38,-0.484822444,-0.969644887
39,-0.507531451,-1.015062901
40,-0.53055526,-1.06111052
41,-0.554238095,-1.10847619
