Alpha ->,MTDeep,VGG-F,CaffeNet,GoogLeNet,VGG-16,VGG-19,ResNet-152
0,95.5,92.9,83.6,93.3,92.5,92.5,95.5
0.1,88.5887,84.24,75.91,86.08,85.42,85.47,87.55
0.2,83.2008,75.58,68.22,78.86,78.34,78.44,79.6
0.3,77.8128,66.92,60.53,71.64,71.26,71.41,71.65
0.4,72.4381,58.26,52.84,64.42,64.18,64.38,63.7
0.5,67.2203,49.6,45.15,57.2,57.1,57.35,55.75
0.6,62.0024,40.94,37.46,49.98,50.02,50.32,47.8
0.7,56.8742,32.28,29.77,42.76,42.94,43.29,39.85
0.8,51.8589,23.62,22.08,35.54,35.86,36.26,31.9
0.9,46.8672,14.96,14.39,28.32,28.78,29.23,23.95
1,41.8826,6.3,6.7,21.1,21.7,22.2,16
